,num_tokens,num_chars,longest_message_toks,shortest_message_toks,longest_message_chars,shortest_message_chars
100042681,1916,7918,25,1,111,0
10004815,1,0,1,1,0,0
10005374,1,0,1,1,0,0
10012781,1,0,1,1,0,0
1002742348,1326,5601,37,1,133,0
1002816761,12782,52799,82,1,278,0
100320668,3144,12353,32,1,138,0
100477338,34335,149139,68,1,228,0
100763229,1274,5165,20,1,96,0
1010877473,22152,88565,80,1,251,0
10112118,1,0,1,1,0,0
101160854,253,889,32,1,112,0
1012142003,6750,28322,47,1,207,0
10125138,1,0,1,1,0,0
1013003051,1,0,1,1,0,0
1013003053,508195,2365022,102,1,405,0
1013462798,21674,93253,52,1,189,0
1014139914,629128,2648778,103,1,310,0
1014643912,18145,75477,56,1,205,0
10147957,1,0,1,1,0,0
1015437641,805893,3374462,99,1,342,0
1015944826,23461,97150,61,1,198,0
1016655433,1,0,1,1,0,0
1016655434,624952,2677113,123,1,412,0
10168328,1,0,1,1,0,0
1017116311,18323,78134,51,1,190,0
1017684648,755746,3374568,102,1,409,0
1018159611,12615,52190,49,1,225,0
1018772037,1,0,1,1,0,0
1018772038,863524,3937539,108,1,420,0
101893736,36606,155850,64,1,264,0
1018958165,19911,81926,78,1,238,0
1019229039,4645,35589,30,1,210,0
102063204,6,20,3,3,12,0
102063276,197725,878415,39,1,166,0
10219596,1,0,1,1,0,0
1022184803,1,0,1,1,0,0
1022184804,423726,2750876,68,1,426,0
1022670268,5183,37971,30,1,188,0
10228811,1,0,1,1,0,0
102298305,434820,1883534,56,1,175,0
1023431166,1,0,1,1,0,0
1023431411,338134,2300542,58,1,408,0
1023929985,7914,55413,28,1,198,0
102436417,18746,77965,39,1,143,0
1024631105,362987,2293331,61,1,350,0
1025121985,5008,37636,28,1,225,0
102561304,4147,17577,33,1,140,0
1025698444,297788,1971915,30,1,350,0
1026138972,5525,37495,28,1,168,0
10264072,1,0,1,1,0,0
10264150,1,0,1,1,0,0
1026783197,1,0,1,1,0,0
1026783198,295880,1968877,60,1,370,0
1026962854,15950,65471,88,1,294,0
1027231530,2296,17202,30,1,255,0
1029561856,15501,75731,50,1,185,0
1030091247,218994,1512232,79,1,351,0
1030549564,2970,22344,53,1,270,0
10305687,1,0,1,1,0,0
1031280288,851829,3591555,100,1,410,0
1031784150,15585,63173,53,1,177,0
103231653,13356,56868,47,1,161,0
1032474503,1,0,1,1,0,0
1032474504,609291,2868595,104,1,437,0
1032944449,251,1024,27,1,127,0
1033073494,16976,85584,55,1,214,0
1033319140,1916,9941,53,1,181,0
103349543,29212,124494,48,1,240,0
10339511,1,0,1,1,0,0
103403458,3,3,3,3,3,0
1034816635,18600,75481,88,1,310,0
103646361,428,1887,48,1,254,0
103690089,16,67,7,2,38,0
103691854,5,7,5,5,7,0
103691988,8765,37759,38,1,146,0
103759871,8359,33694,39,1,136,0
104158876,1859,7310,41,1,151,0
1042414409,16573,70274,77,1,293,0
1043550543,21900,92534,53,1,199,0
104442829,128,486,17,1,61,0
104451984,949,3742,24,1,101,0
1044945401,12725,65597,54,1,225,0
104518096,103700,463332,126,1,240,0
1045905585,5465,27345,37,1,198,0
104611034,2650,10744,20,1,88,0
1046948940,1144,8274,39,1,210,0
104718728,80124,356443,53,1,240,0
10472572,1,0,1,1,0,0
1047970565,1408,10498,40,1,201,0
104838702,23085,94790,55,1,204,0
1048543774,64158,287922,90,1,272,0
1049560441,49107,222392,63,1,238,0
104957140,63611,285385,73,1,276,0
1049826985,13249,55632,77,1,313,0
1050618638,121555,542054,48,1,325,0
1050629393,35186,159091,49,1,199,0
105086731,411,1756,17,1,78,0
10511417,1,0,1,1,0,0
1051646569,135519,598871,60,1,357,0
1051657233,45077,195448,71,1,271,0
105208238,640,2762,29,1,118,0
105213776,105471,480017,65,1,404,0
105233326,10,38,10,10,38,0
105234545,448,1972,38,1,149,0
105258814,54,219,14,1,60,0
1052679836,253806,1126265,71,1,407,0
1052690662,17315,77528,55,1,242,0
1052872908,1,0,1,1,0,0
1052872909,2839,22296,40,1,247,0
1053247355,445,3411,20,1,123,0
1053533478,142,1022,23,1,179,0
1053641333,1156,9438,23,1,255,0
1053768032,69482,302233,40,1,413,0
1053780400,48599,237279,55,1,243,0
1053939814,1,0,1,1,0,0
1053939815,1023,7804,23,1,179,0
1054275758,593,4372,23,1,179,0
1054625700,59,495,11,1,89,0
1054659166,654,5198,23,1,255,0
1054793685,96184,414597,52,1,340,0
1054805998,24196,106874,71,1,253,0
1054962189,1,0,1,1,0,0
1054962190,613,4767,13,1,180,0
1055311838,249,1916,23,1,179,0
1055595279,393,3318,18,1,270,0
1055781457,39368,172665,62,1,251,0
1056783809,36485,197118,62,1,242,0
10571391,1,0,1,1,0,0
1057800476,98580,435765,58,1,406,0
1057812774,25629,108342,62,1,227,0
105845290,1497,5850,24,1,114,0
1058830700,132881,582701,54,1,270,0
1058841251,35397,151635,58,1,227,0
1059444158,7850,42129,33,1,200,0
1059846168,81901,364767,48,1,377,0
1059857084,32919,140978,53,1,253,0
10600183,1,0,1,1,0,0
1060038331,1,0,1,1,0,0
1060038332,3613,15197,45,1,192,0
1060427333,796,3494,58,1,214,0
106071324,335675,1538149,132,1,278,0
1060835822,50278,219822,60,1,270,0
1060864811,34944,150436,59,1,226,0
1060903923,71236,323239,56,1,457,0
1060992718,6593,28191,73,1,267,0
1061008927,13305,56718,56,1,204,0
1061077833,1747,7261,45,1,179,0
10612638,1,0,1,1,0,0
1061423267,1001,3997,41,1,179,0
106172618,42123,189222,59,1,256,0
1061836259,27846,120339,68,1,227,0
1061868890,29541,134724,39,1,157,0
1061907458,111535,491970,52,1,375,0
1061997197,3185,13096,32,1,133,0
1062012031,306,1239,25,1,87,0
1062014304,307,1337,19,1,117,0
1062016781,5557,23490,41,1,224,0
1062305030,1624,5924,49,1,163,0
1062508630,14471,76119,53,1,203,0
106254816,808,3366,27,1,125,0
106276618,252301,1134149,96,1,270,0
1062785927,43524,189190,56,1,198,0
1062854305,35946,154408,58,1,257,0
1063795386,53,201,10,1,25,0
1063803111,30329,128295,53,1,220,0
1063860971,49382,248380,63,1,205,0
10638679,1,0,1,1,0,0
106388129,23254,102272,45,1,210,0
1064913843,107454,465341,50,1,344,0
1064924048,5284,22491,28,1,117,0
1064976604,141,604,7,1,60,0
1064977652,8915,42102,40,1,162,0
106514997,290173,1358844,85,1,275,0
1065933054,203742,958426,48,1,390,0
1065943606,27343,114753,63,1,240,0
106645063,26753,127612,52,1,254,0
1066894464,37048,155057,59,1,201,0
1066957059,86442,379569,48,1,384,0
1066968781,23049,98494,67,1,280,0
1067147149,1,0,1,1,0,0
1067147150,1592,6478,38,1,136,0
106742695,1044,3906,29,1,90,0
1067516720,954,3771,27,1,116,0
106770594,330997,1596313,105,1,270,0
1068018525,32181,138373,51,1,221,0
1068047497,70094,316826,54,1,206,0
1068087095,50799,228738,80,1,390,0
1068254159,994,4002,46,1,196,0
1068592333,940,4727,47,1,300,0
106890691,21104,97479,49,1,218,0
1069024568,7919,34509,50,1,186,0
1069068039,35842,172392,46,1,189,0
1069086271,37528,163748,52,1,211,0
1069107739,132181,575302,76,1,425,0
10695002,1,0,1,1,0,0
1069507621,593,2985,26,1,109,0
1070086380,22676,97182,53,1,190,0
1071090890,33031,141761,51,1,233,0
107167325,2619,10445,34,1,144,0
1072128441,166408,709166,65,1,402,0
1072135398,33919,146346,56,1,233,0
1072209225,4037,19922,35,1,175,0
10723642,1,0,1,1,0,0
107303325,255447,1167120,63,1,162,0
1073205994,79051,347512,40,1,216,0
10736751,1,0,1,1,0,0
107379318,27624,113233,46,1,154,0
1073830404,9531,47175,40,1,198,0
1074236220,111081,492209,43,1,345,0
1074247405,15793,68964,60,1,250,0
1074432838,1253,5237,28,1,220,0
1074750665,970,4223,37,1,181,0
107506782,207740,933379,72,1,180,0
1075228552,48427,205000,68,1,261,0
1075266862,165575,744779,63,1,375,0
1075431974,1,0,1,1,0,0
1075431975,1231,5149,44,1,144,0
1075776707,787,3092,69,1,204,0
107579788,50966,207384,46,1,164,0
1076202675,76334,331192,53,1,207,0
1076240540,113119,502434,41,1,260,0
1076640092,766,3101,42,1,170,0
1077159801,51279,219068,53,1,209,0
107726574,277,1205,26,1,101,0
107727121,63426,283538,40,1,140,0
107751031,34942,141627,46,1,163,0
1078178383,27920,118759,65,1,225,0
1079184101,56778,251148,62,1,270,0
1079192931,45761,200682,91,1,338,0
107934604,29,130,6,1,29,0
107934670,84921,375272,42,1,164,0
107974046,24243,98803,35,1,152,0
1080208276,87141,392261,74,1,405,0
1080219446,17201,74102,49,1,205,0
10805363,1,0,1,1,0,0
1081248804,120537,523944,59,1,413,0
1081259834,28751,126518,69,1,233,0
1081443642,1,0,1,1,0,0
1081443643,2906,11539,35,1,181,0
1081819706,990,3924,47,1,156,0
1082262849,49397,210852,86,1,353,0
